"","date","region","country","cases"
"133","2020-05-12","Northern Africa","Algeria",176
"134","2020-05-13","Northern Africa","Algeria",186
"135","2020-05-14","Northern Africa","Algeria",189
"136","2020-05-15","Northern Africa","Algeria",187
"137","2020-05-16","Northern Africa","Algeria",192
"138","2020-05-17","Northern Africa","Algeria",198
"139","2020-05-18","Northern Africa","Algeria",182
"140","2020-05-19","Northern Africa","Algeria",176
"141","2020-05-20","Northern Africa","Algeria",165
"142","2020-05-21","Northern Africa","Algeria",186
"143","2020-05-22","Northern Africa","Algeria",190
"144","2020-05-23","Northern Africa","Algeria",195
"145","2020-05-24","Northern Africa","Algeria",193
"146","2020-05-25","Northern Africa","Algeria",197
"147","2020-05-26","Northern Africa","Algeria",194
"148","2020-05-27","Northern Africa","Algeria",160
"149","2020-05-28","Northern Africa","Algeria",140
"150","2020-05-29","Northern Africa","Algeria",137
"151","2020-05-30","Northern Africa","Algeria",133
"152","2020-05-31","Northern Africa","Algeria",127
"153","2020-06-01","Northern Africa","Algeria",119
"154","2020-06-02","Northern Africa","Algeria",113
"155","2020-06-03","Northern Africa","Algeria",107
"156","2020-06-04","Northern Africa","Algeria",98
"157","2020-06-05","Northern Africa","Algeria",104
"158","2020-06-06","Northern Africa","Algeria",115
"159","2020-06-07","Northern Africa","Algeria",104
"160","2020-06-08","Northern Africa","Algeria",111
"161","2020-06-09","Northern Africa","Algeria",117
"162","2020-06-10","Northern Africa","Algeria",102
"163","2020-06-11","Northern Africa","Algeria",105
"164","2020-06-12","Northern Africa","Algeria",109
"165","2020-06-13","Northern Africa","Algeria",112
"166","2020-06-14","Northern Africa","Algeria",109
"167","2020-06-15","Northern Africa","Algeria",112
"168","2020-06-16","Northern Africa","Algeria",116
"169","2020-06-17","Northern Africa","Algeria",121
"170","2020-06-18","Northern Africa","Algeria",117
"171","2020-06-19","Northern Africa","Algeria",119
"172","2020-06-20","Northern Africa","Algeria",127
"173","2020-06-21","Northern Africa","Algeria",140
"174","2020-06-22","Northern Africa","Algeria",149
"175","2020-06-23","Northern Africa","Algeria",157
"176","2020-06-24","Northern Africa","Algeria",171
"177","2020-06-25","Northern Africa","Algeria",197
"178","2020-06-26","Northern Africa","Algeria",240
"179","2020-06-27","Northern Africa","Algeria",283
"180","2020-06-28","Northern Africa","Algeria",305
"181","2020-06-29","Northern Africa","Algeria",298
"182","2020-06-30","Northern Africa","Algeria",336
"183","2020-07-01","Northern Africa","Algeria",365
"184","2020-07-02","Northern Africa","Algeria",385
"185","2020-07-03","Northern Africa","Algeria",413
"186","2020-07-04","Northern Africa","Algeria",430
"187","2020-07-05","Northern Africa","Algeria",441
"188","2020-07-06","Northern Africa","Algeria",463
"189","2020-07-07","Northern Africa","Algeria",475
"190","2020-07-08","Northern Africa","Algeria",469
"191","2020-07-09","Northern Africa","Algeria",460
"192","2020-07-10","Northern Africa","Algeria",434
"193","2020-07-11","Northern Africa","Algeria",470
"194","2020-07-12","Northern Africa","Algeria",483
"195","2020-07-13","Northern Africa","Algeria",494
"196","2020-07-14","Northern Africa","Algeria",527
"197","2020-07-15","Northern Africa","Algeria",554
"198","2020-07-16","Northern Africa","Algeria",585
"199","2020-07-17","Northern Africa","Algeria",593
"200","2020-07-18","Northern Africa","Algeria",601
"201","2020-07-19","Northern Africa","Algeria",535
"202","2020-07-20","Northern Africa","Algeria",607
"203","2020-07-21","Northern Africa","Algeria",587
"204","2020-07-22","Northern Africa","Algeria",594
"205","2020-07-23","Northern Africa","Algeria",612
"206","2020-07-24","Northern Africa","Algeria",675
"207","2020-07-25","Northern Africa","Algeria",605
